GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.uma.jmetal:jmetal-core,org.uma.jmetal.util.naming.impl,SimpleDescribedEntity,0,40,0,0,0,16,0,8,0,8
org.uma.jmetal:jmetal-core,org.uma.jmetal.util.naming.impl,DescribedEntitySet.new Comparator() {...},0,18,0,2,0,3,0,3,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.util.naming.impl,DescribedEntitySet,87,75,2,4,18,14,14,7,13,5
org.uma.jmetal:jmetal-core,org.uma.jmetal.util.comparator.impl,OverallConstraintViolationComparator,58,15,17,1,13,5,9,2,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.util.comparator.impl,ViolationThresholdComparator,227,0,28,0,40,0,20,0,6,0
org.uma.jmetal:jmetal-core,org.uma.jmetal.util.fileoutput.impl,DefaultFileOutputContext,43,0,0,0,14,0,5,0,5,0
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,SimpleMeasureManager,8,131,2,10,2,36,2,16,0,12
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,CountingMeasure,15,116,2,6,4,36,3,13,1,11
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,PullPushMeasure,64,0,0,0,18,0,9,0,9,0
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,SimpleMeasure,0,12,0,0,0,6,0,3,0,3
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,SimplePushMeasure,9,46,0,2,2,13,1,6,1,5
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,CountingMeasure.new MeasureListener() {...},0,10,0,0,0,3,0,2,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,SimplePullMeasure,0,12,0,0,0,6,0,3,0,3
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,MeasureFactory.new SimplePullMeasure() {...},5,19,0,0,2,2,0,2,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,MeasureFactory.new Runnable() {...},45,90,3,11,6,24,3,6,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,MeasureFactory.new SimplePullMeasure() {...},6,21,0,0,2,2,0,2,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,DurationMeasure,1,65,2,6,0,20,2,8,0,6
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,MeasureFactory.new MeasureListener() {...},0,15,0,0,0,3,0,2,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,MeasureFactory.new PullMeasure() {...},8,28,0,0,2,5,2,3,2,3
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,MeasureFactory,0,173,0,12,0,31,0,11,0,5
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,BasicMeasure,16,0,0,0,7,0,4,0,4,0
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,LastEvaluationMeasure.Evaluation,0,3,0,0,0,1,0,1,0,1
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,LastEvaluationMeasure,0,19,0,0,0,7,0,2,0,2
org.uma.jmetal:jmetal-core,org.uma.jmetal.measure.impl,ListenerTimeMeasure,6,133,2,14,1,33,2,12,0,6
